feature,score,rank,selected
e_log1p_exp,113.7769701375432,1,1
e_n_exp,100.41239964395646,2,1
u_span_sec,1.6009351761729682,3,1
i_n_users,0.9068508096158088,4,1
u_n_exp,0.7522775947398711,5,1
u_n_uniq_items,0.7276551497866298,6,1
i_log1p_n_users,0.7103892284489567,7,1
i_credit_last,0.7053768060278608,8,1
i_share_last,0.7053768060278603,9,1
i_share_linear,0.5994876191830466,10,1
i_credit_linear,0.5994876191830459,11,1
i_log1p_n_covisit,0.5091319834760902,12,1
u_n_events,0.32111781648916193,13,1
u_log1p_n_uniq,0.21740760133339684,14,1
i_log1p_n_exp,0.06553373427814857,15,1
u_log1p_n_events,0.033284559729397076,16,1
i_credit_first,0.010248450414701989,17,1
i_share_first,0.010248450414701982,18,1
