item_id,rank
226288,1
3885368,2
3383159,3
2794452,4
1563401,5
2226655,6
354058,7
769816,8
383049,9
53533,10
3864839,11
2218350,12
815094,13
4255969,14
4651339,15
2658621,16
810963,17
4770822,18
2514601,19
2210112,20
3782457,21
597091,22
1867923,23
2370398,24
2843774,25
2868527,26
4420529,27
4194222,28
4680219,29
1287902,30
4589609,31
2708068,32
741089,33
2189611,34
3041843,35
3296697,36
494172,37
4124435,38
490022,39
1111414,40
4210635,41
1008536,42
2535188,43
2992544,44
2288309,45
1613010,46
880988,47
345849,48
3502792,49
2432251,50
345842,51
2609207,52
3087177,53
1995891,54
510707,55
3132371,56
74150,57
1267368,58
1415412,59
2189608,60
3317413,61
1608867,62
1074202,63
498321,64
3300782,65
3362630,66
555987,67
4235248,68
69964,69
2119581,70
3687821,71
4264147,72
3325457,73
4379422,74
992150,75
4704858,76
2971718,77
2506320,78
2621529,79
806936,80
2028785,81
1633620,82
3231052,83
3115897,84
1530555,85
4066524,86
761815,87
251071,88
2378714,89
4169524,90
2333454,91
1435913,92
2926410,93
1695578,94
4622488,95
3366776,96
2415847,97
1004585,98
3531557,99
1843266,100
1975234,101
3585037,102
2452881,103
3013077,104
972164,105
4260197,106
1218115,107
3383174,108
3309041,109
3222899,110
1538694,111
370858,112
3144656,113
856239,114
1625355,115
4033604,116
1909263,117
1020834,118
2942912,119
4404137,120
2893361,121
4321727,122
119407,123
255173,124
1238707,125
3782731,126
856285,127
967571,128
2074180,129
2485695,130
741522,131
4680184,132
3856636,133
1971102,134
1839548,135
4766722,136
3757633,137
848091,138
3132610,139
2259673,140
3992671,141
4494942,142
2810899,143
2000644,144
2683587,145
1746327,146
1160630,147
3642944,148
4375303,149
3494791,150
4070743,151
2572239,152
2732803,153
2880912,154
1456630,155
2559930,156
1744877,157
4647166,158
1127851,159
930389,160
111079,161
1678919,162
527185,163
4190246,164
3877149,165
1704223,166
448824,167
2980582,168
1390739,169
753818,170
3819852,171
1674908,172
803822,173
3284369,174
4626615,175
761837,176
2485705,177
1029719,178
2074411,179
4214899,180
3865038,181
1057837,182
2761572,183
1859688,184
597124,185
3749952,186
4239403,187
3576787,188
3305081,189
230418,190
1736588,191
2905935,192
4090073,193
1025819,194
1857412,195
3854166,196
2490201,197
1100269,198
571011,199
4777223,200
4470915,201
564927,202
15906,203
4710192,204
2517122,205
1001919,206
564174,207
1117529,208
4331970,209
1161224,210
3914248,211
3357943,212
1417996,213
1430354,214
3356376,215
2036738,216
626426,217
2246163,218
266906,219
2210138,220
3991039,221
3211948,222
1951525,223
2507602,224
4740097,225
4075340,226
4368322,227
4760640,228
4640453,229
427913,230
4662800,231
268029,232
411976,233
3775358,234
4486979,235
453801,236
2181929,237
3679883,238
3614267,239
299016,240
3941059,241
3878055,242
463382,243
501993,244
2030940,245
3387773,246
445787,247
1617208,248
2292360,249
3791300,250
1337285,251
3762812,252
1971107,253
3490407,254
1868162,255
395500,256
4441205,257
469386,258
1164891,259
885115,260
1382443,261
2724687,262
3181634,263
4066569,264
531257,265
4165389,266
1020837,267
3107825,268
4474459,269
3848343,270
4490941,271
2930614,272
737095,273
152353,274
1440054,275
1929799,276
4083005,277
3214556,278
1053625,279
527234,280
403698,281
1464938,282
1177065,283
1247617,284
3852749,285
172990,286
444706,287
3021348,288
3013194,289
3745307,290
3144740,291
20921,292
1271486,293
3416228,294
3782465,295
3922774,296
366512,297
4729586,298
1843262,299
802804,300
1115375,301
3132417,302
872698,303
4124326,304
4754431,305
3856783,306
3761757,307
2757550,308
4074864,309
3078938,310
3272190,311
733046,312
4350586,313
1617399,314
3478022,315
41284,316
1103083,317
1749061,318
4103740,319
2292349,320
1575787,321
2576291,322
494182,323
3790701,324
2403381,325
2156674,326
2210144,327
115246,328
761845,329
4255891,330
1362010,331
3503134,332
2304650,333
4519531,334
135879,335
2510491,336
3589140,337
2864517,338
4499248,339
831578,340
103192,341
1452536,342
1839155,343
3593271,344
2370371,345
2518758,346
3691847,347
2667103,348
3548280,349
810987,350
2037026,351
543572,352
131801,353
2547471,354
1785822,355
4527711,356
2938817,357
1683270,358
4239387,359
57605,360
4737784,361
267493,362
2942932,363
4395900,364
4050524,365
1341428,366
4630710,367
1538850,368
4099476,369
2724575,370
4531893,371
403781,372
4115984,373
580596,374
111282,375
2140196,376
1362030,377
53521,378
1135881,379
823373,380
4416588,381
4235374,382
383223,383
2551657,384
1296264,385
3617938,386
3971960,387
1608952,388
424174,389
597096,390
3741269,391
1316724,392
2094961,393
3498634,394
885178,395
3177541,396
4140599,397
2020574,398
1489516,399
848159,400
1863797,401
955135,402
2835698,403
2716440,404
1283772,405
810966,406
1041399,407
3440827,408
1900909,409
2555741,410
374819,411
3037980,412
3111925,413
3831912,414
1386641,415
2300817,416
3259812,417
1127796,418
74083,419
2024875,420
4704861,421
2914657,422
3268092,423
2996531,424
2996490,425
1678924,426
1423849,427
576532,428
4663721,429
2626060,430
1806347,431
3519220,432
2633996,433
2259399,434
1732726,435
2930800,436
1357851,437
4066668,438
4511271,439
4362932,440
407985,441
3325566,442
403683,443
333775,444
3576817,445
4379666,446
2341636,447
967444,448
2980029,449
593032,450
1859714,451
2082452,452
2543388,453
399586,454
2749344,455
420039,456
2979881,457
2194000,458
3967990,459
1131795,460
3926687,461
2868615,462
3161059,463
2272059,464
169621,465
4638958,466
3309051,467
2407526,468
119308,469
4017467,470
2321097,471
1460772,472
3548049,473
3490346,474
1001015,475
1111292,476
3350267,477
502505,478
4260217,479
3478028,480
683557,481
148263,482
2588983,483
1971411,484
2276417,485
4594102,486
4453661,487
4169547,488
572389,489
2152541,490
4741916,491
2041137,492
3572951,493
1921557,494
2086552,495
4066802,496
1074246,497
4433579,498
2127822,499
3054124,500
