channel,first_touch,last_touch,linear_touch,first_touch_share,last_touch_share,linear_touch_share
6685422,1.0,2.0,1.1443908350950913,0.000708215297450425,0.00141643059490085,0.0008104750956764103
9076491,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
5339541,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
14903324,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
15428572,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
15099889,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
13789107,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
14732041,1.0,1.0,1.0,0.000708215297450425,0.000708215297450425,0.000708215297450425
13340556,0.0,3.0,0.9914082672260202,0.0,0.002124645892351275,0.0007021305008682862
9091091,2.0,2.0,0.6348187254933679,0.00141643059490085,0.00141643059490085,0.0004495883325023852
6687926,1.0,2.0,0.558711810753306,0.000708215297450425,0.00141643059490085,0.00039568825124171813
4638621,1.0,0.0,0.5363482012272979,0.000708215297450425,0.0,0.0003798500008691911
15609593,1.0,0.0,0.5153846153846153,0.000708215297450425,0.0,0.0003650032686859882
4044821,1.0,0.0,0.5142857142857142,0.000708215297450425,0.0,0.00036422501011736135
15210129,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
14857785,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
15580573,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
13373396,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
4579412,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
7231937,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
10240555,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
6567998,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
5192340,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
7614621,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
5145001,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
10039353,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
4311257,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
6146081,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
3876297,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
13597381,0.0,1.0,0.5,0.0,0.000708215297450425,0.0003541076487252125
13834290,1.0,0.0,0.5,0.000708215297450425,0.0,0.0003541076487252125
8510790,0.0,0.0,0.4971609528424865,0.0,0.0,0.00035209699209807826
14020128,0.0,0.0,0.47083371431062254,0.0,0.0,0.00033345163903018593
2910249,0.0,0.0,0.43328968285935027,0.0,0.0,0.00030686238162843505
11474131,0.0,1.0,0.43244019136455447,0.0,0.000708215297450425,0.0003062607587567666
