user_id,item_id,action_type,timestamp,time,gap_sec,session_id,pos_in_session,item_exp_1h,item_exp_1d,user_exp_1d,y_ctr,y_cvr,y_next_is_click
1,15707217,0,1746917176,2025-05-10 22:46:16+00:00,,1,0,0.0,0.0,0.0,0,0,0
1,6001475,0,1746920445,2025-05-10 23:40:45+00:00,3269.0,1,1,0.0,0.0,1.0,0,0,0
1,13633300,0,1746929690,2025-05-11 02:14:50+00:00,9245.0,1,2,0.0,0.0,2.0,0,0,0
1,693760,0,1747005128,2025-05-11 23:12:08+00:00,75438.0,2,0,0.0,0.0,2.0,0,0,0
1,4706818,0,1747020603,2025-05-12 03:30:03+00:00,15475.0,2,1,0.0,0.0,1.0,0,0,0
1,1923524,0,1747028075,2025-05-12 05:34:35+00:00,7472.0,2,2,0.0,0.0,2.0,0,0,0
1,9021819,0,1747090999,2025-05-12 23:03:19+00:00,62924.0,3,0,0.0,0.0,3.0,0,0,0
1,2205875,0,1747125870,2025-05-13 08:44:30+00:00,34871.0,4,0,0.0,0.0,1.0,0,0,0
1,12424777,0,1747175349,2025-05-13 22:29:09+00:00,49479.0,5,0,0.0,0.0,2.0,0,0,0
1,10611069,0,1747193855,2025-05-14 03:37:35+00:00,18506.0,5,1,0.0,0.0,2.0,0,0,0
1,12985331,0,1747200576,2025-05-14 05:29:36+00:00,6721.0,5,2,0.0,0.0,3.0,0,0,0
1,5947450,0,1747213986,2025-05-14 09:13:06+00:00,13410.0,5,3,0.0,0.0,3.0,0,0,0
1,11401406,0,1747280683,2025-05-15 03:44:43+00:00,66697.0,6,0,0.0,0.0,2.0,0,0,0
1,974382,0,1747300668,2025-05-15 09:17:48+00:00,19985.0,6,1,0.0,0.0,1.0,0,0,0
1,4498855,0,1747300698,2025-05-15 09:18:18+00:00,30.0,6,2,0.0,0.0,2.0,0,0,0
1,11214862,0,1747306754,2025-05-15 10:59:14+00:00,6056.0,6,3,0.0,0.0,3.0,0,0,0
1,9483019,0,1747369480,2025-05-16 04:24:40+00:00,62726.0,7,0,0.0,0.0,3.0,0,0,0
1,5697088,0,1747384860,2025-05-16 08:41:00+00:00,15380.0,7,1,0.0,0.0,4.0,0,0,0
1,7490088,0,1747386719,2025-05-16 09:11:59+00:00,1859.0,7,2,0.0,0.0,5.0,0,0,0
1,13699034,0,1747397838,2025-05-16 12:17:18+00:00,11119.0,7,3,0.0,0.0,3.0,0,0,0
