item_id,rank
901529,1
1563401,2
2210119,3
2226655,4
4651339,5
3885368,6
815094,7
2658621,8
769816,9
226288,10
1111414,11
2868527,12
2432251,13
2218350,14
2794452,15
810963,16
2378714,17
679426,18
3013074,19
2485705,20
2905935,21
3325457,22
490022,23
3642944,24
1435913,25
679692,26
510707,27
2210112,28
700121,29
74150,30
1313023,31
2156669,32
1025819,33
2004444,34
2843774,35
469988,36
1415412,37
3482211,38
4368322,39
3803374,40
2193765,41
3486525,42
4740097,43
3508025,44
806878,45
3742200,46
2454583,47
3607801,48
2549273,49
1481737,50
2507602,51
4247689,52
2116939,53
463382,54
2934858,55
2975857,56
453801,57
4211361,58
856285,59
3997565,60
2462598,61
2952271,62
1989814,63
2292360,64
39907,65
1951525,66
1617172,67
267493,68
4331970,69
115831,70
2325689,71
2681039,72
1630711,73
3741218,74
1857412,75
3330226,76
1559493,77
3240243,78
3161587,79
3910473,80
4716555,81
4235248,82
345842,83
1917364,84
1608867,85
1843266,86
53533,87
1995891,88
4680219,89
3383159,90
4190231,91
3177541,92
69964,93
1929799,94
2370398,95
4194222,96
4210635,97
4169524,98
4416588,99
494172,100
3856636,101
527234,102
2629928,103
860421,104
3494791,105
2535343,106
2971718,107
2535188,108
3589140,109
4321727,110
2708068,111
3708474,112
2810899,113
1008536,114
4264147,115
1020834,116
815186,117
3362630,118
1909263,119
1868162,120
2510491,121
2663007,122
4770822,123
3502792,124
2020574,125
3877149,126
41284,127
1514879,128
2782321,129
2724687,130
4589609,131
2761572,132
1103083,133
1440188,134
880988,135
1341428,136
2452889,137
449176,138
3782457,139
498321,140
1209930,141
4260197,142
2391512,143
1683270,144
3391382,145
2642186,146
1382443,147
2119581,148
1863797,149
4255891,150
403698,151
49704,152
3622061,153
4420529,154
424174,155
2415847,156
2028785,157
1538694,158
4741916,159
3478022,160
172990,161
2930800,162
2617435,163
119407,164
4362932,165
2749344,166
3041843,167
2996490,168
1749418,169
3222899,170
580596,171
135807,172
663126,173
4159073,174
490318,175
2288309,176
3864839,177
448824,178
403781,179
4511269,180
1975234,181
255281,182
531293,183
3017206,184
1785822,185
905867,186
3050621,187
1971107,188
4379666,189
3050099,190
4766722,191
4622488,192
2506320,193
4115984,194
3017217,195
3309041,196
4626615,197
2370437,198
1288165,199
2086552,200
3564553,201
2794851,202
1423849,203
3726364,204
2189611,205
2848421,206
831704,207
1066041,208
765698,209
885115,210
992150,211
395500,212
3330018,213
4165389,214
3284369,215
2757539,216
872698,217
2518819,218
1428239,219
3729315,220
4355484,221
4658979,222
95537,223
1227940,224
3190420,225
1556924,226
4503152,227
967545,228
956796,229
2429581,230
2424289,231
3005538,232
3531726,233
953812,234
1215327,235
1750381,236
3675497,237
214292,238
1268258,239
4748884,240
2453615,241
3047042,242
4404354,243
4247879,244
4291203,245
1469970,246
3046209,247
4289424,248
4243466,249
3064119,250
2546035,251
3346417,252
1932539,253
4722062,254
3104880,255
1514842,256
2358884,257
3087737,258
119810,259
1688836,260
1033286,261
2354180,262
2557305,263
2844279,264
1705236,265
2366831,266
3797198,267
2856259,268
4339396,269
1326635,270
4095191,271
2374769,272
3738063,273
2552330,274
3321192,275
2687518,276
1115908,277
2712305,278
613922,279
2568228,280
3252121,281
4429675,282
3383472,283
704041,284
339423,285
3820643,286
2576766,287
2589433,288
2794667,289
3862007,290
2202234,291
2791124,292
247179,293
1100461,294
260453,295
1659600,296
4458692,297
4312711,298
1538741,299
3351015,300
