user_id,n_W1,n_W2,mmd2,rank,selected
397611,1,1,48.43149169243871,1,0
321027,1,1,47.42952862380402,2,0
906675,2,1,47.071028442025714,3,0
917288,1,1,46.865655701874736,4,0
479255,1,1,46.60769476269491,5,0
269164,1,1,45.29180930062275,6,0
677945,1,1,44.472297606325995,7,0
218808,1,1,44.07246639137384,8,0
863231,2,1,43.77451791541666,9,0
632440,1,1,41.75765294980227,10,0
579699,1,1,40.67360200381399,11,0
633806,1,2,39.75170655440777,12,0
3691,1,1,39.58364940944809,13,0
999832,1,1,38.3542968450121,14,0
772595,1,1,38.1856807297774,15,0
291865,1,1,37.474019868185835,16,0
866163,1,1,37.437549148469,17,0
627952,1,3,37.34034857203031,18,0
155932,1,1,37.21342457676663,19,0
601227,1,2,37.11234712822324,20,0
463516,1,3,36.99510553001115,21,0
699877,1,1,36.572114626302316,22,0
92297,2,1,36.46696665966343,23,0
960313,1,1,36.31195230672724,24,0
540646,1,1,36.2195462493784,25,0
209671,1,1,36.14208199754789,26,0
945748,2,1,36.085243354875956,27,0
100068,1,1,35.86053819422561,28,0
476737,1,1,35.77536300755991,29,0
547507,1,2,35.36516647127891,30,0
677917,3,1,35.27424206036521,31,0
788337,1,2,35.16259318856725,32,0
337492,3,1,34.867856658865136,33,0
706804,2,1,34.676067032103255,34,0
196260,1,2,34.59634279020921,35,0
723079,1,1,34.5050670614863,36,0
461829,2,1,34.102191681403546,37,0
830179,2,1,34.091761524351185,38,0
814879,1,1,33.889534179809004,39,0
358395,1,1,33.69161694712559,40,0
593662,1,2,33.539879690120465,41,0
997303,1,1,33.43651615576746,42,0
86304,1,1,33.39715552811446,43,0
260491,1,1,33.154203745235264,44,0
952181,1,1,33.12584302359087,45,0
846156,2,1,33.11463984632798,46,0
811300,1,2,32.991176029428516,47,0
131531,2,1,32.96297176957434,48,0
906875,1,1,32.89182981102373,49,0
942694,1,1,32.693781363134235,50,0
614578,1,1,32.579500794649725,51,0
303485,1,1,32.47278209903642,52,0
946216,1,1,32.4041395541713,53,0
848776,1,1,32.37025364835222,54,0
29361,1,2,32.311118063726134,55,0
599454,1,1,32.26675141890041,56,0
311296,1,1,32.17746390788466,57,0
920805,1,1,31.981101242185733,58,0
891116,1,1,31.495001691010767,59,0
864846,1,1,31.216735199319697,60,0
228490,1,2,30.72259087876644,61,0
421384,1,1,30.67364693194772,62,0
493002,2,1,30.616750113755078,63,0
407437,1,1,30.536740106527365,64,0
879950,1,1,30.3049235606257,65,0
521317,1,1,30.289537659580976,66,0
901573,1,1,30.087150417324942,67,0
948932,1,1,30.083365814495387,68,0
7322,3,1,29.917938322355504,69,0
777690,1,1,29.772470017533802,70,0
178810,1,1,29.595416125717023,71,0
255220,1,1,29.444468070708602,72,0
188105,2,1,28.92362788721136,73,0
613740,1,1,28.709074218100895,74,0
108374,1,1,28.595005200437665,75,0
317431,1,1,28.026766423706423,76,0
957987,1,1,27.764974336992324,77,0
245696,1,2,27.672175288261897,78,0
254827,1,1,27.351492989451934,79,0
685784,1,2,27.14022226813063,80,0
987009,1,1,26.120603925850602,81,0
386288,1,1,24.872174908338437,82,0
248804,1,1,22.507604356191653,83,0
237788,1,1,19.55602595133253,84,0
