shift_l2,user_id,item_id,merchant_id,order_id,y_convert,tau2
26.76201462425152,772867,2304650,2304650,772867_2304650_0,0,1.4887663208125726e-09
40.81915012428915,130455,2810899,2810899,130455_2810899_1,0,6.459702239203968e-07
31.982126529157057,251495,226288,226288,251495_226288_2,0,3.8816149664040366e-08
19.557631286554713,344451,2996531,2996531,344451_2996531_3,0,1.4887663208125726e-09
22.396732866795187,571908,2535188,2535188,571908_2535188_4,0,1.6729405495023599e-09
16.385442432606517,314242,4140599,4140599,314242_4140599_5,0,4.141484838504852e-12
20.580230568472142,460465,2370398,2370398,460465_2370398_6,0,1.237039954379762e-09
21.560468988854605,59774,1538694,1538694,59774_1538694_7,0,1.4887663208125726e-09
16.092039711027983,13132,1415412,1415412,13132_1415412_8,0,1.6729405495023599e-09
10.522391203761286,961488,345849,345849,961488_345849_9,0,1.6328111578385e-07
24.080592884261915,644770,3383174,3383174,644770_3383174_10,0,7.219309510540693e-10
15.075665301064038,759524,2996490,2996490,759524_2996490_11,0,4.7313302657970884e-08
20.310824223180575,663820,3383159,3383159,663820_3383159_12,0,1.6729405495023599e-09
18.422715680998806,839990,2506320,2506320,839990_2506320_13,0,1.4887663208125726e-09
27.268690665426384,703213,4704858,4704858,703213_4704858_14,0,1.4887663208125726e-09
14.045763892070502,629379,3971960,3971960,629379_3971960_15,0,2.223204794216091e-06
32.78690872166516,644488,226288,226288,644488_226288_16,0,1.6729405495023599e-09
28.60657532202626,218031,53521,53521,218031_53521_17,0,1.478428944302872e-09
27.082882113924114,469585,2535188,2535188,469585_2535188_18,0,1.6729405495023599e-09
13.58753684449447,819559,230418,230418,819559_230418_19,0,1.4887663208125726e-09
17.77117366012257,325711,2506320,2506320,325711_2506320_20,0,4.7313302657970884e-08
10.025351214708083,160219,3144740,3144740,160219_3144740_21,0,3.2295654670539145e-07
20.12485353164418,94001,490022,490022,94001_490022_22,0,1.6729405495023599e-09
9.877835427271457,867057,1678919,8780,867057_1678919_23,0,1.8462045371734174e-07
32.026468646761565,592937,226288,226288,592937_226288_24,0,3.8816149664040366e-08
20.63781954569347,644259,4704858,4704858,644259_4704858_25,0,4.7313302657970884e-08
11.65557218860516,319758,4420529,79851,319758_4420529_26,0,5.128356418588598e-08
29.555113506036726,484691,872698,872698,484691_872698_27,0,3.4879685156335784e-11
13.399116392718819,159694,1863797,1863797,159694_1863797_28,0,1.4887663208125726e-09
14.972903171364209,306992,1678919,8780,306992_1678919_29,0,4.656916308412597e-07
21.072824780228128,129291,1020834,1020834,129291_1020834_30,0,4.465531142922538e-05
28.81594253058012,389406,1020837,574,389406_1020837_31,0,1.4887663208125726e-09
12.069373514047717,803256,2210112,2210112,803256_2210112_32,0,1.9993703536252845e-07
32.89152601473319,535907,1020837,574,535907_1020837_33,0,1.4887663208125726e-09
22.39374210488935,171034,3757633,3757633,171034_3757633_34,0,7.219309510540693e-10
22.94999268359578,281513,230418,230418,281513_230418_35,0,1.4887663208125726e-09
38.678362558574456,591959,119308,119308,591959_119308_36,0,8.748426873512171e-10
40.363994000468274,478094,2810899,2810899,478094_2810899_37,0,6.324507480504602e-07
36.66205488152839,556459,226288,226288,556459_226288_38,0,1.6729405495023599e-09
28.811312133534972,297696,119308,119308,297696_119308_39,0,8.827988191214557e-10
19.64225332247263,95509,53521,53521,95509_53521_40,0,1.4887663208125726e-09
37.061831462523195,324062,119308,119308,324062_119308_41,0,8.748426873512171e-10
27.727402244086296,840442,4235248,54415,840442_4235248_42,0,1.6729405495023599e-09
18.60605210522385,953344,498321,498321,953344_498321_43,0,1.6729405495023599e-09
20.51505340796603,455726,2304650,2304650,455726_2304650_44,0,3.581375928674325e-08
24.532291532990282,704674,403683,403683,704674_403683_45,0,6.307243168586381e-10
17.345230492210355,13807,1440054,1440054,13807_1440054_46,0,1.4887663208125726e-09
19.09888725920416,920164,1538694,1538694,920164_1538694_47,0,1.4887663208125726e-09
32.16554977695291,952181,3087177,3087177,952181_3087177_48,0,7.376821049866682e-09
57.95162303487206,905548,4214899,51874,905548_4214899_49,0,4.873102818636629e-07
15.977877572062798,150940,74083,74083,150940_74083_50,0,1.3100710387211678e-08
28.62511781307045,734607,74083,74083,734607_74083_51,0,3.9115134035432075e-06
28.92197435063992,932427,490022,490022,932427_490022_52,0,1.6729405495023599e-09
9.355136284561734,346501,1678919,8780,346501_1678919_53,0,1.923912184329306e-07
19.684976594534145,603590,230418,230418,603590_230418_54,0,1.4887663208125726e-09
20.30281572606751,648708,564174,59287,648708_564174_55,0,2.0823195304019055e-05
40.739907032314306,906832,226288,226288,906832_226288_56,0,2.64996334513189e-09
31.199576887580406,238433,2535188,2535188,238433_2535188_57,0,1.6619813161306284e-09
34.56766843182028,738186,2810899,2810899,738186_2810899_58,0,5.742231860649837e-07
31.19217750684694,961713,1538694,1538694,961713_1538694_59,0,2.7957436505826914e-10
24.07920576678952,511140,366512,366512,511140_366512_60,0,1.4887663208125726e-09
35.85250202039872,730047,4235248,54415,730047_4235248_61,0,1.6619813161306284e-09
17.72749917726751,838844,230418,230418,838844_230418_62,0,1.4887663208125726e-09
21.55924139177634,946367,4420529,79851,946367_4420529_63,0,1.6729405495023599e-09
36.65883174630589,419998,4704858,4704858,419998_4704858_64,0,4.663622994860369e-07
29.483293479776126,414022,1608867,1608867,414022_1608867_65,0,7.533194896198686e-08
38.04540489724803,800966,226288,226288,800966_226288_66,0,1.6729405495023599e-09
27.971979238424854,83001,2535188,2535188,83001_2535188_67,0,7.524754834719176e-10
30.12019793366633,196238,4235248,54415,196238_4235248_68,0,1.6729405495023599e-09
23.055016804009053,225744,4647166,4647166,225744_4647166_69,0,5.180383259563136e-06
23.669105543717794,323776,4235248,54415,323776_4235248_70,0,4.7313302657970884e-08
28.21642147139582,146617,4235248,54415,146617_4235248_71,0,1.6729405495023599e-09
14.942440786177587,236928,2996490,2996490,236928_2996490_72,0,4.7313302657970884e-08
27.099501536417147,841636,597124,597124,841636_597124_73,0,1.6545538334576334e-05
