user_id,n_events,n_exp,n_clk,n_cnv,n_uniq_items,ctr,cvr,ctcvr,has_convert,span_sec
5362000,100,99,1,0,100,0.010101010101010102,0.0,0.0,0,1825067
474000,100,100,0,0,100,0.0,0.0,0.0,0,3694264
196000,100,67,6,27,100,0.08955223880597014,4.5,0.40298507462686567,1,4679242
4704000,100,100,0,0,95,0.0,0.0,0.0,0,10235803
6852000,100,89,10,1,100,0.11235955056179775,0.1,0.011235955056179775,1,3170321
986000,100,98,1,1,100,0.01020408163265306,1.0,0.01020408163265306,1,9215329
5886000,100,98,2,0,100,0.02040816326530612,0.0,0.0,0,5811661
6308000,100,96,0,4,100,0.0,0.0,0.041666666666666664,1,6438079
4504000,100,91,2,7,100,0.02197802197802198,3.5,0.07692307692307693,1,3137079
20000,100,89,7,4,100,0.07865168539325842,0.5714285714285714,0.0449438202247191,1,5322952
258000,100,100,0,0,100,0.0,0.0,0.0,0,1672080
304000,100,98,2,0,100,0.02040816326530612,0.0,0.0,0,5859213
5470000,100,97,3,0,100,0.030927835051546393,0.0,0.0,0,1377272
5228000,100,98,1,1,98,0.01020408163265306,1.0,0.01020408163265306,1,1885057
4988000,100,93,5,2,100,0.053763440860215055,0.4,0.021505376344086023,1,1884957
1270000,100,91,9,0,100,0.0989010989010989,0.0,0.0,0,4546222
5716000,100,97,2,1,100,0.020618556701030927,0.5,0.010309278350515464,1,4230398
4818000,100,97,3,0,100,0.030927835051546393,0.0,0.0,0,4748334
5778000,100,93,7,0,100,0.07526881720430108,0.0,0.0,0,6251705
5158000,100,94,4,2,100,0.0425531914893617,0.5,0.02127659574468085,1,3350846
570000,100,97,1,2,100,0.010309278350515464,2.0,0.020618556701030927,1,4639410
4642000,100,100,0,0,100,0.0,0.0,0.0,0,8052134
1094000,100,80,11,9,100,0.1375,0.8181818181818182,0.1125,1,6392711
3914000,100,100,0,0,100,0.0,0.0,0.0,0,4022857
3668000,100,77,6,17,100,0.07792207792207792,2.8333333333333335,0.22077922077922077,1,5402507
4396000,100,100,0,0,99,0.0,0.0,0.0,0,5480633
2060000,25,25,0,0,25,0.0,0.0,0.0,0,6272296
8814000,100,95,5,0,100,0.05263157894736842,0.0,0.0,0,2184998
4566000,100,91,8,1,100,0.08791208791208792,0.125,0.01098901098901099,1,5104281
9236000,100,91,7,2,100,0.07692307692307693,0.2857142857142857,0.02197802197802198,1,5269705
612000,71,61,10,0,71,0.16393442622950818,0.0,0.0,0,22555383
9610000,100,84,7,9,100,0.08333333333333333,1.2857142857142858,0.10714285714285714,1,3969138
9718000,100,91,8,1,100,0.08791208791208792,0.125,0.01098901098901099,1,4148328
9604000,100,87,4,9,100,0.04597701149425287,2.25,0.10344827586206896,1,6958681
9406000,100,90,9,1,100,0.1,0.1111111111111111,0.011111111111111112,1,2455816
6062000,100,100,0,0,100,0.0,0.0,0.0,0,1948559
8706000,100,98,1,1,100,0.01020408163265306,1.0,0.01020408163265306,1,3121402
1378000,100,90,5,5,100,0.05555555555555555,1.0,0.05555555555555555,1,3623419
678000,100,75,15,10,100,0.2,0.6666666666666666,0.13333333333333333,1,5253561
5186000,100,87,5,8,100,0.05747126436781609,1.6,0.09195402298850575,1,7319093
9326000,77,52,3,22,76,0.057692307692307696,7.333333333333333,0.4230769230769231,1,18797627
394000,100,100,0,0,100,0.0,0.0,0.0,0,5393827
1162000,100,99,1,0,99,0.010101010101010102,0.0,0.0,0,6565119
82000,100,100,0,0,100,0.0,0.0,0.0,0,5355034
4288000,100,88,8,4,100,0.09090909090909091,0.5,0.045454545454545456,1,5104940
9780000,100,94,3,3,100,0.031914893617021274,1.0,0.031914893617021274,1,3887319
5512000,100,97,1,2,100,0.010309278350515464,2.0,0.020618556701030927,1,3959504
848000,100,97,2,1,100,0.020618556701030927,0.5,0.010309278350515464,1,4001411
9434000,100,96,0,4,100,0.0,0.0,0.041666666666666664,1,7081776
8024000,100,100,0,0,100,0.0,0.0,0.0,0,4650599
4084000,100,100,0,0,100,0.0,0.0,0.0,0,3662196
4112000,100,96,3,1,100,0.03125,0.3333333333333333,0.010416666666666666,1,3873292
5272000,100,100,0,0,100,0.0,0.0,0.0,0,1976095
3606000,100,79,21,0,100,0.26582278481012656,0.0,0.0,0,5088922
4572000,100,93,7,0,100,0.07526881720430108,0.0,0.0,0,3060058
6194000,100,99,0,1,100,0.0,0.0,0.010101010101010102,1,7940598
4022000,100,98,1,1,100,0.01020408163265306,1.0,0.01020408163265306,1,9310915
5954000,95,83,3,9,95,0.03614457831325301,3.0,0.10843373493975904,1,20641913
2948000,100,91,4,5,100,0.04395604395604396,1.25,0.054945054945054944,1,9507213
190000,100,91,4,5,100,0.04395604395604396,1.25,0.054945054945054944,1,2791490
4614000,100,97,2,1,100,0.020618556701030927,0.5,0.010309278350515464,1,7701488
480000,100,88,10,2,100,0.11363636363636363,0.2,0.022727272727272728,1,5462494
9188000,100,95,5,0,100,0.05263157894736842,0.0,0.0,0,5835198
3738000,100,100,0,0,100,0.0,0.0,0.0,0,3176526
10134000,100,98,1,1,100,0.01020408163265306,1.0,0.01020408163265306,1,3797648
5096000,100,98,0,2,100,0.0,0.0,0.02040816326530612,1,5202300
4812000,100,98,2,0,100,0.02040816326530612,0.0,0.0,0,4582355
366000,100,59,10,31,100,0.1694915254237288,3.1,0.5254237288135594,1,7444162
1360000,100,98,2,0,100,0.02040816326530612,0.0,0.0,0,2679615
10026000,100,91,5,4,100,0.054945054945054944,0.8,0.04395604395604396,1,2966203
10088000,58,42,9,7,58,0.21428571428571427,0.7777777777777778,0.16666666666666666,1,5290129
9496000,100,84,9,7,100,0.10714285714285714,0.7777777777777778,0.08333333333333333,1,14781952
7098000,100,99,1,0,100,0.010101010101010102,0.0,0.0,0,4117025
5404000,1,1,0,0,1,0.0,0.0,0.0,0,0
9850000,100,85,5,10,100,0.058823529411764705,2.0,0.11764705882352941,1,2236235
