feature,pi,score,rank,selected
u_span_sec,1.0,1.1990542493211622,1,1
i_n_users,1.0,0.6239824441373315,2,1
i_n_covisit_neighbors,1.0,0.5822550407901183,3,1
u_n_exp,1.0,0.5739145406404315,4,1
u_n_uniq_items,1.0,0.5590730251676302,5,1
i_log1p_n_users,1.0,0.5456457949435652,6,1
i_share_last,1.0,0.4903937969304056,7,1
i_share_linear,1.0,0.43541871459618964,8,1
i_credit_linear,1.0,0.43541871459618936,9,1
i_n_exp,1.0,0.2679941074771422,10,1
i_log1p_n_exp,1.0,0.1405236677595134,11,1
i_log1p_n_covisit,0.6666666666666666,0.40936295170485487,12,1
u_n_events,0.6666666666666666,0.3075504081339259,13,1
ui_pop_mismatch,0.6666666666666666,0.21635866711725418,14,1
i_share_first,0.6666666666666666,0.16039582827517396,15,1
i_credit_first,0.6666666666666666,0.16039582827517393,16,0
u_log1p_n_uniq,0.3333333333333333,0.24411641613938562,17,0
u_log1p_n_events,0.3333333333333333,0.13435474437718062,18,0
